Date,Open,High,Low,Close,Adj Close,Volume
2021-11-30,120500,122000,115000,115500,115500,1809765
2021-12-01,116500,120000,115500,120000,120000,851165
2021-12-02,118000,122000,118000,122000,122000,725845
2021-12-03,122000,123000,119000,122000,122000,780951
2021-12-06,121500,125000,120500,124000,124000,819472
2021-12-07,124000,126000,121500,125500,125500,720765
2021-12-08,127500,128000,122500,123500,123500,1043122
2021-12-09,122500,125000,122000,123000,123000,1151051
2021-12-10,122000,126000,121500,126000,126000,671405
2021-12-13,129500,135500,129000,134000,134000,2612253
2021-12-14,132500,133500,128000,128500,128500,1506380
2021-12-15,128500,130500,127000,129500,129500,855372
2021-12-16,131500,132500,129000,130000,130000,705254
2021-12-17,128000,131500,127500,129500,129500,944383
2021-12-20,128500,129000,125500,125500,125500,864094
2021-12-21,127000,131000,126500,130500,130500,993693
2021-12-22,132000,132500,129000,129500,129500,703187
2021-12-23,130500,139000,128500,137000,137000,2564334
2021-12-24,137000,138000,134000,136500,136500,1170212
2021-12-27,136500,140000,135500,138000,138000,958151
2021-12-28,139000,139500,137000,138000,138000,1186045
2021-12-29,138500,141500,138000,140500,140500,1104635
2021-12-30,140000,140500,138000,138000,138000,703821
2022-01-04,143000,145000,140000,142000,142000,1419997
2022-01-05,142000,142000,137500,138500,138500,965541
2022-01-06,136000,139000,134500,135000,135000,1038777
2022-01-07,136500,138000,135000,137500,137500,808243
2022-01-10,135500,136000,129000,130000,130000,1784965
2022-01-11,129500,131500,127500,130500,130500,972850
